Temp_Min,Temp_Max,RH_Min,RH_Max,Wind_Speed,Rainfall,No_of_rainy_days,Sunshine_Hrs,Inc_Per
22.14,32.51,50.93,96.20,0.66,13.80,1.00,4.10,1.00
21.26,32.76,32.76,83.00,0.26,0.00,0.00,4.59,2.44
21.26,31.21,40.20,75.73,1.35,41.70,4.00,3.89,1.56
20.34,31.36,35.74,77.14,0.23,5.50,2.00,8.70,1.88
18.58,32.07,27.13,66.27,0.43,0.00,0.00,9.80,1.68
18.23,31.40,23.83,61.69,1.45,0.00,0.00,9.69,0.80
18.37,30.09,34.38,70.44,1.81,0.00,0.00,8.26,1.00
19.00,30.77,35.20,76.75,1.70,0.00,0.00,8.79,0.20
18.12,31.07,31.57,64.93,2.19,0.00,0.00,9.34,0.24
17.28,29.74,29.91,66.17,2.15,0.00,0.00,9.30,0.24
15.94,29.33,27.79,60.65,2.07,0.00,0.00,8.86,0.12
15.82,29.80,25.52,62.91,2.81,0.00,0.00,8.04,0.10
19.17,31.87,30.67,71.10,1.48,0.00,0.00,9.46,0.08
13.49,27.82,19.13,51.62,2.08,0.00,0.00,9.94,0.10
13.88,29.71,21.05,56.56,1.43,0.00,0.00,10.00,0.08
17.94,30.19,25.92,64.38,1.06,0.00,0.00,9.39,0.05
17.76,30.25,27.04,62.63,0.00,0.00,0.00,9.59,0.05
17.28,32.26,20.55,48.25,1.02,0.00,0.00,9.89,0.10
19.44,33.17,22.67,51.83,1.69,0.00,0.00,9.73,0.10
20.37,35.36,11.54,36.26,1.15,0.00,0.00,9.93,0.10
18.11,35.61,9.94,40.73,2.69,0.00,0.00,10.30,0.10
18.10,34.93,9.55,37.00,3.09,0.00,0.00,9.86,0.05
21.62,36.39,12.44,30.85,2.14,0.00,0.00,9.64,0.05
22.61,38.91,5.71,20.84,2.30,0.00,0.00,9.60,0.05
23.94,38.26,10.19,38.66,1.96,0.00,0.00,8.31,0.00
24.00,40.21,11.14,65.14,2.35,4.20,1.00,9.13,0.56
25.14,39.64,16.29,64.57,12.29,9.20,1.00,8.69,0.70
25.29,39.86,14.29,61.14,11.43,18.80,1.00,8.39,1.11
25.86,39.79,14.71,49.43,7.71,0.00,0.00,8.46,0.75
21.43,40.14,11.14,64.43,7.71,0.00,0.00,10.61,0.94
21.57,38.71,19.57,77.86,13.57,27.80,3.00,8.24,0.52
25.57,87.79,7.71,58.86,7.14,0.00,0.00,8.83,0.70
24.72,71.14,16.04,69.92,7.80,0.00,0.00,7.76,8.14
23.87,34.87,38.62,89.31,6.20,0.00,0.00,9.39,11.43
24.24,34.85,39.84,83.02,6.09,0.00,0.00,7.60,10.11
24.24,34.85,39.84,83.02,6.09,2.40,1.00,7.60,10.21
23.09,35.14,33.91,86.94,8.74,6.20,2.00,8.41,12.48
23.41,32.75,47.16,91.46,5.68,2.00,3.00,7.04,11.44
23.18,32.08,49.64,92.74,7.66,26.90,2.00,4.70,13.97
23.22,32.00,50.71,90.73,4.38,27.90,3.00,5.21,15.52
23.04,30.68,58.80,96.65,5.16,33.50,5.00,3.99,14.86
22.56,29.78,60.31,93.91,5.59,8.80,2.00,3.33,12.78
22.34,29.87,59.18,93.70,6.15,8.60,4.00,3.50,8.05
22.20,31.77,51.45,94.00,8.35,18.40,2.00,6.30,5.48
22.10,32.21,45.73,90.41,6.46,0.00,0.00,7.50,10.43
22.71,32.10,48.46,90.27,3.72,0.00,0.00,6.26,8.96
23.05,30.03,64.56,96.63,3.09,13.00,3.00,4.34,7.18
21.90,29.98,61.81,99.86,4.25,39.30,3.00,4.56,6.69
21.23,31.42,48.15,95.72,3.15,32.80,4.00,7.91,7.37
21.88,31.94,45.38,95.35,2.46,20.10,2.00,7.26,8.77
53.10,32.70,54.01,93.78,3.14,12.50,5.00,4.80,6.25
22.21,28.84,69.81,100.00,2.86,1.20,1.00,3.69,7.95
21.03,33.25,26.32,74.38,2.85,74.10,5.00,9.57,8.85
20.68,30.90,40.99,79.01,2.60,75.00,2.00,6.43,12.07
20.34,30.83,38.22,87.97,2.18,0.00,0.00,8.34,9.58
19.89,30.31,44.86,90.40,2.54,41.70,4.00,5.89,1.40
20.59,30.53,42.46,76.07,2.44,5.50,2.00,7.76,1.50
14.87,29.77,24.34,62.43,2.40,0.00,0.00,9.74,1.69
19.87,30.82,43.21,78.03,2.46,0.00,0.00,8.14,32.01
20.32,28.82,36.48,75.14,2.43,0.00,0.00,8.26,34.85
20.27,32.09,35.61,73.51,2.44,0.00,0.00,9.18,35.23
16.26,31.43,26.26,70.29,2.44,0.00,0.00,9.60,2.73
16.18,29.76,27.65,66.11,2.44,0.00,0.00,9.36,3.59
18.18,30.49,36.98,66.57,0.51,0.00,0.00,9.47,6.08
17.97,31.76,25.93,60.32,0.25,0.00,0.00,8.04,2.10
39.03,31.77,18.45,53.27,0.00,0.00,0.00,8.86,6.48
17.26,30.01,28.22,63.64,0.00,0.00,0.00,9.56,6.50
18.73,30.42,25.59,64.38,0.00,0.00,0.00,8.41,8.33
19.38,30.94,29.50,68.95,0.33,0.00,0.00,8.37,3.23
20.14,32.07,29.32,63.32,2.24,0.00,0.00,8.90,7.31
20.38,32.50,23.64,63.46,2.45,0.00,0.00,8.86,4.56
17.90,33.52,24.37,64.37,1.84,0.00,0.00,9.91,4.37
17.43,33.71,9.71,34.00,2.00,0.00,0.00,9.60,2.37
19.50,34.71,14.29,50.86,2.43,0.00,0.00,9.66,2.09
20.43,35.29,20.00,44.86,1.86,0.00,0.00,8.13,1.95
21.14,34.79,29.43,44.86,2.00,0.00,0.00,6.50,1.31
22.25,36.89,21.49,37.83,1.91,0.00,0.00,9.17,1.73
21.47,40.56,14.14,33.43,2.28,0.00,0.00,10.16,1.74
23.31,41.30,20.00,43.71,2.07,0.00,0.00,8.45,1.76
21.57,39.73,16.29,47.14,3.63,0.00,0.00,10.18,1.90
22.80,39.77,22.86,52.71,1.76,18.20,1.00,8.93,1.72
24.79,42.06,16.71,48.00,2.45,0.00,0.00,10.09,1.59
25.71,42.89,14.86,49.71,4.07,0.00,0.00,8.61,0.21
25.44,40.46,20.86,54.71,3.53,0.00,0.00,7.17,1.54
25.53,41.36,23.43,56.86,5.93,0.00,0.00,8.37,1.55
23.31,38.76,29.71,74.71,4.56,75.00,3.00,8.40,1.52
22.19,35.93,47.14,83.14,3.38,52.00,1.00,6.97,1.52
21.79,32.84,53.14,80.71,5.51,28.90,2.00,5.14,1.67
21.49,34.19,47.14,82.29,4.66,8.41,2.00,6.33,1.76
21.69,32.13,56.43,85.14,4.56,35.10,4.00,4.28,2.07
21.71,32.80,57.57,83.43,4.33,39.60,3.00,4.70,1.11
20.83,29.13,70.00,89.71,3.80,95.30,6.00,6.41,1.53
20.89,27.69,78.14,92.43,3.79,30.90,7.00,5.21,2.41
20.99,29.57,70.71,89.00,4.73,59.30,5.00,3.99,10.48
20.77,29.23,68.14,87.86,4.84,9.20,2.00,6.33,18.96
20.66,31.09,58.29,85.71,2.75,7.60,2.00,4.77,3.29
21.41,30.57,62.00,87.14,2.45,2.40,2.00,2.30,4.01
20.51,31.97,48.29,82.43,3.87,6.80,2.00,3.50,26.92
21.03,32.70,48.43,83.71,1.92,9.60,2.00,8.50,35.14
21.20,34.91,41.57,82.43,2.20,15.00,2.00,7.54,37.34
20.84,32.14,70.00,95.71,0.94,89.90,6.00,4.46,37.18
21.21,30.87,68.14,92.43,2.69,86.00,4.00,3.59,34.49
19.86,32.17,51.29,87.71,2.35,6.20,2.00,7.89,33.53
21.40,32.33,54.00,87.00,2.12,8.20,3.00,5.80,30.36
20.83,32.39,51.14,86.43,2.48,0.00,0.00,8.30,37.46
20.01,32.90,44.86,85.43,1.36,7.20,1.00,4.98,31.83
20.16,31.07,69.29,85.57,2.47,6.00,1.00,5.61,8.11
18.90,32.13,43.57,85.14,1.43,5.20,1.00,8.59,11.14
17.73,31.64,42.57,79.43,1.39,0.00,0.00,7.84,14.63
13.14,30.67,30.00,75.86,1.87,0.00,0.00,9.53,2.32
14.64,32.03,30.00,74.29,1.24,0.00,0.00,8.10,5.88
18.77,31.74,49.00,81.71,1.39,1.80,1.00,6.61,6.90
15.24,30.79,34.00,83.43,1.89,0.00,0.00,7.36,8.47
10.50,31.00,17.14,73.57,1.75,0.00,0.00,9.43,9.77
11.40,30.56,26.29,74.43,0.80,0.00,0.00,9.16,8.25
13.21,29.81,37.29,78.86,1.65,0.00,0.00,9.47,6.77
13.20,29.94,34.71,82.00,1.70,0.00,0.00,7.70,6.33
14.10,31.77,30.71,79.00,1.29,0.00,0.00,8.34,5.76
16.73,31.71,33.00,72.86,1.79,0.00,0.00,7.83,5.62
17.64,30.36,36.71,75.00,2.88,0.00,0.00,4.86,5.59
14.39,30.26,30.71,65.43,2.56,0.00,0.00,7.91,2.39
14.71,33.41,21.71,59.14,1.21,0.00,0.00,9.33,3.62
13.80,32.44,20.57,58.86,2.09,0.00,0.00,8.33,4.59
18.03,33.74,25.29,72.86,2.01,0.00,0.00,8.56,3.39
17.04,33.23,27.14,70.00,2.85,16.30,1.00,8.66,5.04
17.47,31.13,45.57,87.14,4.11,12.70,2.00,7.26,1.11
18.96,33.67,40.29,73.86,2.27,15.80,2.00,8.00,1.13
21.64,37.69,20.71,50.00,1.76,0.00,0.00,8.04,1.40
21.79,38.89,18.57,47.00,1.65,0.00,0.00,9.71,4.14
21.50,39.86,16.43,41.43,1.76,0.00,0.00,9.50,3.82
22.83,39.99,14.71,42.14,2.05,1.40,1.00,8.74,4.93
22.24,39.21,24.57,62.00,1.99,18.40,2.00,7.64,2.50
24.44,39.94,21.43,50.29,2.14,0.00,0.00,8.61,3.60
24.00,40.93,22.29,58.29,2.01,5.20,1.00,8.43,4.57
21.73,37.50,30.57,69.86,3.11,14.20,2.00,7.77,8.79
23.14,39.13,21.00,56.71,2.87,0.00,0.00,8.01,11.14
24.93,41.07,23.14,62.86,3.41,0.00,0.00,7.80,19.85
24.27,39.99,34.29,71.57,2.40,32.00,3.00,6.70,23.91
23.13,39.41,34.86,72.00,3.84,34.00,2.00,9.65,38.67
22.99,38.77,39.57,73.00,5.06,0.00,0.00,9.44,39.39
24.10,36.03,42.86,76.86,5.73,3.30,1.00,6.33,44.38
24.19,37.36,32.86,73.14,5.14,0.00,0.00,9.10,47.82
23.54,36.86,42.29,75.43,4.65,9.10,1.00,7.44,50.60
22.50,32.07,59.14,87.71,4.03,37.10,2.00,2.60,59.18
22.87,33.00,54.86,84.14,5.84,18.60,3.00,2.75,45.66
21.74,31.71,61.00,85.71,4.01,29.70,3.00,3.89,6.75
22.16,31.03,66.14,87.14,4.18,28.80,4.00,7.47,7.12
21.87,32.91,55.00,85.14,4.08,16.70,3.00,6.36,4.62
21.74,33.44,47.71,82.29,3.37,0.00,0.00,8.95,4.92
21.76,33.97,54.71,89.29,1.56,36.70,3.00,6.54,5.43
21.56,30.00,78.29,96.00,2.30,80.30,6.00,1.33,6.24
21.40,29.56,67.71,90.29,3.77,25.10,5.00,3.59,6.87
21.47,31.10,55.00,86.57,3.24,6.60,2.00,7.01,6.33
21.96,32.40,58.14,86.57,2.49,21.30,2.00,5.91,6.06
21.76,33.40,53.43,82.43,1.50,4.80,1.00,7.93,6.36
21.27,34.90,37.29,77.29,1.58,0.30,1.00,8.30,6.54
20.74,34.36,45.86,84.57,1.77,9.60,3.00,6.70,6.31
20.74,35.09,35.29,71.71,1.71,0.00,0.00,9.20,6.72
18.74,32.96,35.57,75.29,2.17,5.60,1.00,5.89,6.62
15.49,30.31,33.43,80.86,1.52,7.20,1.00,8.07,37.75
15.93,33.97,23.57,64.71,2.23,0.00,0.00,8.86,40.62
19.67,31.19,53.57,88.29,1.31,50.00,5.00,5.89,47.26
16.90,32.54,40.14,81.57,0.46,9.70,1.00,7.49,5.28
13.99,31.77,25.29,69.14,0.89,0.00,0.00,8.77,4.74
14.30,31.91,26.14,64.86,1.24,0.00,0.00,9.73,42.46
16.13,30.10,47.71,82.14,1.03,10.40,2.00,6.06,3.26
13.19,29.33,35.71,67.71,1.77,0.00,0.00,8.47,55.84
10.81,29.10,28.00,68.14,1.05,0.00,0.00,8.54,44.76
15.66,29.10,50.86,82.29,0.81,12.30,1.00,7.89,45.24
11.76,29.43,26.71,76.29,0.95,0.00,0.00,8.06,55.75
10.14,30.34,21.86,66.57,1.02,0.00,0.00,5.96,19.01
14.76,30.97,29.57,75.43,1.69,0.00,0.00,8.01,25.23
14.61,31.70,29.86,68.00,0.98,0.00,0.00,7.26,33.64
14.34,32.79,18.29,64.86,1.89,0.00,0.00,9.30,28.82
18.76,32.65,22.85,48.94,6.58,0.00,0.00,8.86,27.58
16.43,32.40,19.29,38.43,5.11,0.00,0.00,9.73,33.29
17.57,34.80,23.57,50.29,7.56,7.80,1.00,8.81,15.71
