Temp_Min,Temp_Max,RH_Min,RH_Max,Wind_Speed,Rainfall,No_of_rainy_days,Sunshine_Hrs,Inc_Per
23.97,39.54,20.29,43.86,4.28,0.00,0.00,7.89,11.31
23.34,41.44,16.14,37.57,5.97,0.00,0.00,8.53,0.00
21.77,40.23,26.71,58.14,5.61,5.70,1.00,8.06,0.00
23.70,40.44,25.14,57.71,4.77,41.80,1.00,8.90,0.00
22.84,40.57,23.00,55.86,5.89,12.30,2.00,9.80,0.00
23.03,37.93,28.29,59.57,5.42,0.00,0.00,10.03,0.00
23.70,37.06,32.86,72.57,4.42,0.00,0.00,7.37,7.99
23.61,40.16,19.86,63.43,8.66,4.70,1.00,3.20,11.89
24.46,40.67,26.00,58.14,6.58,13.60,2.00,9.30,12.44
24.39,39.79,24.86,60.86,7.11,1.00,0.00,10.06,8.39
20.60,35.50,51.86,85.86,5.34,77.00,5.00,5.39,8.16
20.20,30.77,62.00,91.71,5.22,120.80,3.00,5.77,9.36
21.33,33.36,53.00,85.29,4.95,7.06,2.00,7.19,7.63
20.81,31.41,66.00,88.29,6.53,18.50,3.00,4.54,8.56
20.74,30.40,61.86,85.29,6.97,15.00,3.00,5.90,7.87
20.53,31.43,63.71,89.43,5.44,30.10,2.00,5.20,3.26
20.49,29.49,73.00,90.14,5.83,26.80,2.00,0.97,4.68
20.20,27.96,79.14,76.29,5.52,22.70,4.00,7.89,6.00
21.34,30.87,64.29,88.57,6.50,5.90,1.00,2.86,7.54
20.30,31.39,59.57,92.29,3.89,53.10,3.00,5.59,9.51
21.74,33.50,58.71,87.71,3.31,17.10,2.00,6.47,11.79
20.37,32.34,65.00,93.71,3.17,132.10,6.00,5.77,13.45
21.41,31.46,62.29,80.89,5.82,5.70,1.00,5.79,15.43
21.81,29.20,64.29,90.86,5.71,67.70,3.00,4.97,18.28
19.30,31.91,54.14,88.14,4.85,3.00,1.00,6.73,2.44
20.01,32.73,52.14,77.57,3.95,25.10,2.00,6.09,2.36
20.36,29.24,70.00,94.00,2.58,69.40,5.00,5.51,2.15
21.04,34.16,53.43,90.57,1.68,15.60,2.00,7.29,1.97
21.11,32.57,54.29,86.43,3.78,0.90,0.00,121.61,1.75
21.17,32.81,58.86,91.29,2.66,37.50,2.00,7.44,1.56
19.36,32.47,39.00,89.00,2.20,21.40,1.00,7.89,1.33
19.89,33.51,41.29,83.86,1.56,6.40,1.00,7.17,0.86
17.86,33.03,32.43,77.57,1.93,0.00,0.00,8.17,0.58
15.05,31.40,30.25,70.75,3.89,0.00,0.00,8.78,0.31
